Timestamp,Name,Discord ID,Twitter ID,Place of Origin,Message,Message (Native),Your Message in Native Language (with Translator to English) / 母国語でのメッセージ (機械翻訳した英語),Direct Link to your art (Artbook) / アート集へのリンク,Direct link to your art (Video Collage) / ビデオコラージュへのリンク,art
6/22/2021 2:04:47,Staciasunay,Rei#9451,@Staciasunay,Singapore,あくぅあちゃん、あなたの笑顔わ最高です、笑顔を続けてください! あなたのビデオを見るのはいつも喜びです! あなたが演奏するのを見続けることを願っています ! 最も重要なことは、あなたの健康に気をつけてください、私はいつもあなたのためにここにいます! 好きだよ！,,"Aqua-chan , your smile is the best , please continue to smile ! Its always an pleasure to watch your video or your performance ! Most importantly , please take care of your health, i will always be here for you ! Love you !  ",,,
6/22/2021 6:44:19,Draco0100,,,United States of America,Happy Aniverssary Aqua! Love you!!,,,,,
6/22/2021 8:15:19,Mitz,Mitz#5613,@BingeMitz,Singapore,周年おめでとうございます。 1年前からあなたの配信を見ていますが、あなたは私のお気に入りです。いつもあなたを見ていて、あなたを待っています。,Congratulations on your anniversary. I've been watching your delivery for a year now and you are my favorite.　will always watch you and wait for you.,,,,
6/22/2021 21:49:22,Renfield Kuroyagi,Renfield K.#5705,@Renfield_K_,Philippines,"KonAqua! Happy Anniversary Akutan! Thank you for everything you have done so far! Wish you nothing but the best! ",,,https://drive.google.com/file/d/1GK6RmJHWnvI3bCHGM5HOUwNfnReCOFGE/view?usp=drivesdk,https://drive.google.com/file/d/1GK6RmJHWnvI3bCHGM5HOUwNfnReCOFGE/view?usp=drivesdk,renfield.png
6/22/2021 21:58:42,Clock,Clock#9818,,Singapore,Congrats on the anniversary Aqua! Homewarming party YAY! (^)o(^)b You are very cute idol and we all love you! Keep fighting strong! #BREAKTHELIMIT,,,,,
6/23/2021 3:43:23,Cyril Josh,CyrilJosh#6822,@p_roselim,Philippines,"Hello Aqua! We are happy and proud of you, we the Aqua Crew will always always love you! no matter what. Sending love and good wishes to our beloved Minato Aqua. (⌒▽⌒)♡",,,,,
6/23/2021 7:13:39,Xincho,Xincho#4270,@XinchoStellar,United Kingdom,I love Aqua's singing and I hope I can hear it more! I will always support in whatever you decide to do!,,,,,
6/24/2021 13:05:59,HoloFan Lee,Wei Lee#9119,@SakuraBot30001,China,Happy Anniversary Aqua!!! You are an amazing idol and you continue to inspire so many with your hard work and effort. I love your music and I'm glad I'm able to enjoy it. Thank you for your hard work.,,,,,
6/25/2021 8:39:18,Blank,Blank#4685,@Blank_Void_R,Indonesia,"Happy 3rd Anniversary Our Idol Aqua, We Aqua crew all love you, please keep up the good works and remember that you have us as your fans",,,,,
6/25/2021 20:28:01,DinoSon,DinoSon#2218,@hongson_MOBA,Vietnam,"Dear Aqua-chan, congratulation on your 3rd Anniversary! You are my number one idol, I love all your singing and game streams, they always make me feel happy. I love Aqua and will always support you!",,,,,
6/25/2021 22:19:13,風は止まった,風は止まった #7950,@XxqfJi,Taiwan,こんあくあ〜 3周年おめでとう 、あなたの生放送は私に幸せをもたらします、ありがとう。悪いコメントを見ても気にしないでね 、今後もずっと応援します( ^)o(^ )b,,,,,
6/25/2021 22:59:58,Kotori乄Aiko,Kotori乄Aiko#4401,,Malaysia,あくたん，三周年おめでとうございます！これからは大変なことも楽しいこともたくさんあると思いますが、どんなことがあっても、クルーは常にあくたんの味方だということを忘れないでくださいね～！,,,,,
6/25/2021 23:23:45,迪迪,迪迪迪迪迪迪迪#8540,@Im60450826," ",i love aqua 頑張ろ,夸寶我愛你一生推阿夸❤️,aqua i love you,,,
6/28/2021 19:06:34,シモキ,シモキ#6962,@Ra84169794,Taiwan,信じられないかも、でも本当だよ！私はね、もう何回でもわからなくで、あくたんのことに助けられた。毎回落ち込んでの時、君努力の姿を思いだげでまだ元気になだ。ちょどおかしい話し、＃あくあ色ぱれっと  この曲は君が私達に伝えたい思いだけではなく、これも私達があくたんに教えたいの話、特に“キミがいるから歩いてこれた”この歌詞。本当にいつもありがとう、愛してるよ！これからもいっぱいいっぱい応援します！,,,,,
7/9/2021 13:44:11,Happi,Happi#2880,@Aqua_Crew_Happi,China,デビュー3周年おめでとうございます！我々あなたを離れることは決してないので、あなたが好きなことをしてください！！また、一生懸命働くときに体を傷つけないでください!!!!,恭喜你出道三周年！ 我们永远不会离开你，所以做你喜欢的事情！ !! 还有，努力工作的同时也请不要伤害自己！！！！,"Congratulations on your third anniversary of your debut! Our fans will never leave you, so do what you love to do! !! In addition, please don't hurt yourself while working hard! ! ! !",1. https://drive.google.com/file/d/1puyabtQIR4ojSh2dUlnLtDzICh6SjvWS/view?usp=sharing  2. https://drive.google.com/file/d/12Y13XMPCjan0u6O5bEWZmSfrigiStmCF/view?usp=sharing,,"happi_1.png,happi_2.png"
7/9/2021 18:31:17,RaimCM3,Raim#3847,@raimcm3,India,"Happy 3rd anniversary, Aqua! I am not a frequent watcher of your streams, but I try to watch as much as I can because I like your streams. I like your design too, it's an interesting one!",,,,,
7/12/2021 10:28:17,あおそら,あおそら#2771,@kevin8667,Taiwan,あくたんへ。三周年おめでとう！！いつもみんなに元気をくれて、日常の支えになってくれて本当にありがとう！！ファンとしてはまだ一年目だけど、あくたんの努力や成長は知ってるよ。頑張り屋なのは知ってるけど、辛いとき、限界だと思ったとき、みんなはきっと支えになってくれるよ！！これからも一緒に頑張ろう！！,,,,,
7/16/2021 22:51:49,Gabe,Less#0069,@L3SS_,Canada,Congrats on 3 years of streaming Aqua! I always enjoy watching you!,,,,,
7/16/2021 23:51:28,CD165,Curudud165#6403,@Cooldude1652,Panama,Aqua you are the best WE LOVE YOU!!,,,,,
7/17/2021 2:16:31,Noxa,Noxa#1391,@noxa_4,United States of America,"Congratulations on your 3rd debut anniversary, Aqua! Thank you for all of the fun memories and wonderful singing. I will continue support you as always.",,,,,
7/19/2021 2:46:26,Waffleslife,Waffleslife #0445,,Belgium,"Happy birthday Aqua. I hope you like waffles because I do. PS I love you :) ",,,,,
